"","Id","MSSubClass","MSZoning","LotArea","Street","LotConfig","Neighborhood","BldgType","OverallQual","YearBuilt","ExterCond","BsmtCond","CentralAir","GrLivArea","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageQual","PoolArea","SalePrice"
"1",1,60,"RL",8450,1,"Inside","Schaerbeek","1Fam",7,2003,3,3,1,1710,4,8,7,0,3,0,208500
"2",2,20,"RL",9600,1,"FR2","Roeselare","1Fam",6,1976,3,3,1,1262,3,6,7,1,3,0,181500
"4",4,70,"RL",9550,1,"Corner","Anderlecht","1Fam",7,1915,3,4,1,1717,4,7,7,1,3,0,140000
"5",5,60,"RL",14260,1,"FR2","Aalst","1Fam",8,2000,3,3,1,2198,4,9,7,1,3,0,250000
"6",6,50,"RL",14115,1,"Inside","Mons","1Fam",5,1993,3,3,1,1362,3,5,7,0,3,0,143000
"9",9,50,"RM",6120,1,"Inside","Hasselt","1Fam",7,1931,3,3,1,1774,3,8,6,2,2,0,129900
"11",11,20,"RL",11200,1,"Inside","SintNiklaas","1Fam",5,1965,3,3,1,1040,3,5,7,0,3,0,129500
"12",12,60,"RL",11924,1,"Inside","Uccle","1Fam",9,2005,3,3,1,2324,5,11,7,2,3,0,345000
"13",13,20,"RL",12968,1,"Inside","SintNiklaas","1Fam",5,1962,3,3,1,912,3,4,7,0,3,0,144000
"14",14,20,"RL",10652,1,"Inside","Schaerbeek","1Fam",7,2006,3,3,1,1494,4,7,7,1,3,0,279500
"15",15,20,"RL",10920,1,"Corner","Ixelles","1Fam",6,1960,3,3,1,1253,3,5,7,1,3,0,157000
"16",16,45,"RM",6120,1,"Corner","Liège","1Fam",7,1929,3,3,1,854,3,5,7,0,3,0,132000
"17",17,20,"RL",11241,1,"CulDSac","Ixelles","1Fam",6,1970,3,3,1,1004,3,5,7,1,3,0,149000
"18",18,90,"RL",10791,1,"Inside","SintNiklaas","Duplex",4,1967,3,0,1,1296,3,6,7,0,3,0,90000
"19",19,20,"RL",13695,1,"Inside","Kortrijk","1Fam",5,2004,3,3,1,1114,4,6,7,0,3,0,159000
"20",20,20,"RL",7560,1,"Inside","Ixelles","1Fam",5,1958,3,3,1,1339,3,6,6,0,3,0,139000
"21",21,60,"RL",14215,1,"Corner","Uccle","1Fam",8,2005,3,3,1,2376,4,9,7,1,3,0,325300
"22",22,45,"RM",7449,1,"Inside","Leuven","1Fam",7,1930,3,3,1,1108,4,6,7,1,3,0,139400
"23",23,20,"RL",9742,1,"Inside","Schaerbeek","1Fam",8,2002,3,3,1,1795,4,7,7,1,3,0,230000
"24",24,120,"RM",4224,1,"Inside","SintJansMolenbeek","TwnhsE",5,1976,3,3,1,1060,3,6,7,1,3,0,129900
"25",25,20,"RL",8246,1,"Inside","SintNiklaas","1Fam",5,1968,4,3,1,1060,4,6,7,1,3,0,154000
"26",26,20,"RL",14230,1,"Corner","Uccle","1Fam",8,2007,3,3,1,1600,4,7,7,1,3,0,256300
"27",27,20,"RL",7200,1,"Corner","Ixelles","1Fam",5,1951,3,3,1,900,4,5,7,0,3,0,134800
"28",28,20,"RL",11478,1,"Inside","Uccle","1Fam",8,2007,3,3,1,1704,4,7,7,1,3,0,306000
"29",29,20,"RL",16321,1,"CulDSac","Ixelles","1Fam",5,1957,3,3,1,1600,3,6,7,2,3,0,207500
"30",30,30,"RM",6324,1,"Inside","Liège","1Fam",4,1927,3,3,0,520,2,4,7,0,2,0,68500
"31",31,70,"C (all)",8500,1,"Inside","Leuven","1Fam",4,1920,2,3,0,1317,3,6,7,0,3,0,40000
"32",32,20,"RL",8544,1,"CulDSac","SintNiklaas","1Fam",5,1966,3,3,1,1228,4,6,7,0,3,0,149350
"33",33,20,"RL",11049,1,"Corner","Schaerbeek","1Fam",8,2007,3,3,1,1234,4,7,7,0,3,0,179900
"34",34,20,"RL",10552,1,"Inside","Ixelles","1Fam",5,1959,3,3,1,1700,4,6,7,1,3,0,165500
"35",35,120,"RL",7313,1,"Inside","Uccle","TwnhsE",9,2005,3,3,1,1561,5,6,7,1,3,0,277500
"36",36,60,"RL",13418,1,"Inside","Uccle","1Fam",8,2004,3,3,1,2452,4,9,7,1,3,0,309000
"37",37,20,"RL",10859,1,"Corner","Schaerbeek","1Fam",5,1994,3,3,1,1097,3,6,7,0,3,0,145000
"38",38,20,"RL",8532,1,"Inside","Ixelles","1Fam",5,1954,3,3,1,1297,3,5,7,1,3,0,153000
"39",39,20,"RL",7922,1,"Inside","Ixelles","1Fam",5,1953,4,3,1,1057,4,5,7,0,3,0,109000
"40",40,90,"RL",6040,1,"Inside","Bruges","Duplex",4,1955,3,0,0,1152,2,6,7,0,0,0,82000
"41",41,20,"RL",8658,1,"Inside","Ixelles","1Fam",6,1965,3,3,1,1324,3,6,7,1,3,0,160000
"42",42,20,"RL",16905,1,"Inside","Seraing","1Fam",5,1959,4,3,1,1328,3,5,7,2,3,0,170000
"43",43,85,"RL",9180,1,"CulDSac","Kortrijk","1Fam",5,1983,3,3,1,884,4,5,7,0,3,0,144000
"45",45,20,"RL",7945,1,"Inside","Ixelles","1Fam",5,1959,3,3,1,1150,3,6,7,0,3,0,141000
"48",48,20,"FV",11096,1,"Inside","Ostend","1Fam",8,2006,3,3,1,1656,4,7,7,0,3,0,249700
"49",49,190,"RM",4456,1,"Inside","Hasselt","2fmCon",4,1920,3,3,1,1452,3,8,7,0,0,0,113000
"50",50,20,"RL",7742,1,"Inside","SintNiklaas","1Fam",5,1966,3,3,1,955,3,6,7,0,3,0,127000
"51",51,60,"RL",13869,1,"Corner","Namur","1Fam",6,1997,3,3,1,1470,3,6,7,0,3,0,177000
"52",52,50,"RM",6240,1,"Inside","Liège","1Fam",6,1934,3,3,1,1176,3,6,7,1,3,0,114500
"53",53,90,"RM",8472,0,"Corner","Leuven","Duplex",5,1963,3,3,0,816,3,5,7,0,3,0,110000
"56",56,20,"RL",10175,1,"Inside","Ixelles","1Fam",6,1964,3,3,1,1425,3,7,7,1,3,0,180500
"57",57,160,"FV",2645,1,"Inside","Ostend","Twnhs",8,1999,3,3,1,1739,4,7,7,0,3,0,172500
"58",58,60,"RL",11645,1,"Corner","Schaerbeek","1Fam",7,2004,3,3,1,1720,4,7,7,0,3,0,196500
"59",59,60,"RL",13682,1,"CulDSac","Tournai","1Fam",10,2006,3,3,1,2945,4,10,7,1,3,0,438780
"60",60,20,"RL",7200,1,"Inside","Schaerbeek","1Fam",5,1972,3,3,1,780,3,4,7,0,3,0,124900
"61",61,20,"RL",13072,1,"Inside","Kortrijk","1Fam",6,2004,3,3,1,1158,4,5,7,0,3,0,158000
"62",62,75,"RM",7200,1,"Inside","Leuven","1Fam",5,1920,3,2,0,1111,2,6,7,0,3,0,101000
"65",65,60,"RL",9375,1,"Inside","Schaerbeek","1Fam",7,1997,3,3,1,2034,4,8,7,0,3,0,219500
"66",66,60,"RL",9591,1,"Inside","Uccle","1Fam",8,2004,3,3,1,2473,4,9,7,1,3,0,317000
"67",67,20,"RL",19900,1,"Inside","Ixelles","1Fam",7,1970,3,3,1,2207,3,7,6,1,3,0,180000
"68",68,20,"RL",10665,1,"Inside","Schaerbeek","1Fam",7,2003,3,3,1,1479,4,7,7,0,3,0,226000
"69",69,30,"RM",4608,1,"Corner","Hasselt","1Fam",4,1945,4,3,1,747,3,4,7,0,3,0,80000
"70",70,50,"RL",15593,1,"Corner","Brussels","1Fam",7,1953,3,3,1,2287,3,7,7,1,3,0,225000
"71",71,20,"RL",13651,1,"Inside","Ixelles","1Fam",7,1973,4,3,1,2223,3,8,7,2,3,0,244000
"72",72,20,"RL",7599,1,"Corner","Mons","1Fam",4,1982,3,3,1,845,3,4,7,0,3,0,129500
"74",74,20,"RL",10200,1,"Inside","Ixelles","1Fam",5,1954,3,3,1,1086,3,6,7,0,3,0,144900
"75",75,50,"RM",5790,1,"Corner","Hasselt","1Fam",3,1915,4,3,0,1605,3,8,7,0,3,0,107400
"77",77,20,"RL",8475,1,"Inside","Ixelles","1Fam",4,1956,3,3,1,952,3,4,7,0,3,0,135750
"78",78,50,"RM",8635,1,"Inside","Liège","1Fam",5,1948,3,3,1,1285,3,6,6,0,3,0,127000
"79",79,90,"RL",10778,1,"Inside","SintNiklaas","Duplex",4,1968,3,3,0,1768,3,8,7,0,0,0,136500
"80",80,50,"RM",10440,1,"Corner","Hasselt","1Fam",5,1910,3,3,1,1230,3,5,7,0,3,0,110000
"81",81,60,"RL",13000,1,"Corner","Ixelles","1Fam",6,1968,4,3,1,2142,4,8,7,1,3,0,193500
"82",82,120,"RM",4500,1,"FR2","Mons","TwnhsE",6,1998,4,4,1,1337,3,5,7,0,3,0,153500
"83",83,20,"RL",10206,1,"Inside","Ostend","1Fam",8,2007,3,3,1,1563,4,6,7,1,3,0,245000
"84",84,20,"RL",8892,1,"Inside","Ixelles","1Fam",5,1960,3,3,1,1065,3,6,7,0,3,0,126500
"85",85,80,"RL",8530,1,"Inside","Namur","1Fam",7,1995,3,3,1,1474,3,7,7,1,3,0,168500
"86",86,60,"RL",16059,1,"Corner","Aalst","1Fam",8,1991,3,3,1,2417,4,9,7,1,3,0,260000
"87",87,60,"RL",11911,1,"Inside","Namur","1Fam",6,2005,3,3,1,1560,4,6,7,1,3,0,174000
"88",88,160,"FV",3951,1,"Corner","Ostend","TwnhsE",6,2009,3,3,1,1224,4,4,7,0,3,0,164500
"89",89,50,"C (all)",8470,1,"Corner","Leuven","1Fam",3,1915,2,2,0,1526,2,6,7,0,0,0,85000
"90",90,20,"RL",8070,1,"Inside","Schaerbeek","1Fam",4,1994,3,3,1,990,3,5,7,0,0,0,123600
"91",91,20,"RL",7200,1,"Inside","Ixelles","1Fam",4,1950,3,0,1,1040,3,4,7,0,3,0,109900
"92",92,20,"RL",8500,1,"Inside","Ixelles","1Fam",5,1961,3,3,1,1235,3,6,7,0,3,0,98600
"93",93,30,"RL",13360,1,"Inside","Anderlecht","1Fam",5,1921,4,3,1,964,3,5,7,0,3,0,163500
"94",94,190,"C (all)",7200,1,"Corner","Hasselt","2fmCon",6,1910,3,2,0,2291,3,9,7,1,3,0,133900
"95",95,60,"RL",9337,1,"Inside","Schaerbeek","1Fam",6,1997,4,3,1,1786,4,7,7,0,3,0,204750
"96",96,60,"RL",9765,1,"Corner","Namur","1Fam",6,1993,4,4,1,1470,3,6,7,1,3,0,185000
"97",97,20,"RL",10264,1,"Inside","Schaerbeek","1Fam",7,1999,3,3,1,1588,4,6,7,0,3,0,214000
"98",98,20,"RL",10921,1,"Inside","Bruges","1Fam",4,1965,3,3,1,960,3,6,7,0,3,0,94750
"99",99,30,"RL",10625,1,"Corner","Bruges","1Fam",5,1920,3,3,0,835,3,5,7,0,2,0,83000
"100",100,20,"RL",9320,1,"Inside","Ixelles","1Fam",4,1959,3,3,1,1225,3,6,7,0,0,0,128950
"102",102,60,"RL",9206,1,"Inside","Kortrijk","1Fam",6,1985,3,3,1,1732,4,7,7,1,3,0,178000
"104",104,20,"RL",10402,1,"Corner","Schaerbeek","1Fam",7,2009,3,3,1,1226,4,6,7,0,3,0,198900
"105",105,50,"RM",7758,1,"Corner","Leuven","1Fam",7,1931,2,3,1,1818,3,7,7,2,3,0,169500
"106",106,60,"FV",9375,1,"Inside","Ostend","1Fam",8,2003,3,3,1,1992,4,9,7,1,3,0,250000
"107",107,30,"RM",10800,1,"Inside","Hasselt","1Fam",4,1885,3,3,1,1047,3,6,7,0,2,0,100000
"108",108,20,"RM",6000,1,"Inside","Hasselt","1Fam",5,1948,3,3,1,789,3,5,7,0,3,0,115000
"110",110,20,"RL",11751,1,"Inside","LaLouviere","1Fam",6,1977,3,3,1,1844,3,7,7,1,3,0,190000
"111",111,50,"RL",9525,1,"Inside","Bruges","1Fam",6,1954,3,2,1,1855,3,7,7,0,3,0,136900
"112",112,80,"RL",7750,1,"Inside","Namur","1Fam",7,2000,3,3,1,1430,3,7,7,1,3,0,180000
"113",113,60,"RL",9965,1,"Inside","Schaerbeek","1Fam",7,2007,3,3,1,2696,5,10,7,1,3,0,383970
"114",114,20,"RL",21000,1,"Corner","Anderlecht","1Fam",6,1953,4,3,1,2259,4,7,7,2,3,0,217000
